"更新日時","取得元","コード","銘柄","始値","高値","安値","終値"
"2026/09/17","google","IX0001","台湾加権","45936.11","46874.84","45936.11","46288"
"2026/09/17","google","KRX:KOSPI","韓国総合株価指数","6779.02","6795.53","6697.85","6715.41"
"2026/09/17","google","INDEXHANGSENG:HSI","香港ハンセン","24480.57","24606.15","24357.69","24604.29"
"2026/09/17","google","INDEXBOM:SENSEX","インドSENSEX","74182.62","74677.56","74163.95","74314.59"
"2026/09/17","google","SHE:399001","深セン成分","13409.88","13553.6","13374.04","13409.91"
"2026/09/17","google","INDEXSTOXX:SX5E","ユーロ50","6293.27","6337.66","6285.15","6322.9"
"2026/09/17","google","PX1","CAC40","8176.99","8209.67","8142.16","8186.93"
"2026/09/17","google","UKX","FTSE100","10689.27","10823","10688.91","10816.14"
"2026/09/17","google","INDEXDB:DAX","DAX","25681.6","25800.62","25596.05","25716.71"
"2026/09/17","google","INDEXCBOE:VIX","VIX","16.03","16.29","15.38","15.44"
"2026/09/17","google","SP500-10","S&P 500 Energy","973.22","982.65","969.63","982.27"
"2026/09/17","google","SP500-20","S&P 500 Industrials","1445.9","1446.85","1424.36","1427.25"
"2026/09/17","google","SP500-30","S&P 500 Consumer Staples","923.4","923.62","915.62","921.15"
"2026/09/17","google","SP500-40","S&P 500 Financials","933.94","933.94","922.1","927.1"
"2026/09/17","google","SP500-50","S&P 500 Telecommunication Services","473.32","473.37","466.59","469.94"
"2026/09/17","google","SP500-15","S&P 500 Materials","639.37","639.61","633.9","635.98"
"2026/09/17","google","SP500-25","S&P 500 Consumer Discretionary","1849.65","1854.86","1837.02","1842.32"
"2026/09/17","google","SP500-35","S&P 500 Health Care","1962.1","1965.89","1950.82","1962.66"
"2026/09/17","google","SP500-45","S&P 500 Information Technology","6983.75","7035.61","6964.22","7018.38"
"2026/09/17","google","SP500-55","S&P 500 Utilities","419.78","421.5","417.15","420.8"
