"","","","","","","","","",""
"更新日時","取得元","コード","銘柄","価格","","時価総額（兆ドル）","前日時価総額","騰落率",""
"2026/09/25 16:00:01","google","NASDAQ:AAPL","アップル","341.07","","4.978","4.901","1.53",""
"2026/09/25 16:00:01","google","NASDAQ:MSFT","マイクロソフト","516.17","","3.833","3.693","3.66",""
"2026/09/25 16:00:01","google","NASDAQ:GOOG","グーグル","341.08","","4.188","4.162","0.61",""
"2026/09/25 16:00:01","google","NASDAQ:AMZN","アマゾン","249.67","","2.693","2.690","0.12",""
"2026/09/25 16:00:01","google","NASDAQ:NVDA","エヌビディア","225.07","","5.424","5.412","0.22",""
"2026/09/25 16:00:01","google","NASDAQ:META","メタ","751.66","","1.915","1.979","-3.33",""
"2026/09/25 16:00:01","google","NASDAQ:TSLA","テスラ","372.11","","1.166","1.184","-1.54",""
"","","","","","時価総額","24.1961","24.021","",""
"2026/09/25 16:00:01","google","BATS:ARKK","アーク","90.77","#N/A","","","",""
"2026/09/25 16:00:01","google","INDEXDJX:.DJI","NYダウ","51828.62","51359.7","51874.94","51339.24","0.93",""
"2026/09/25 16:00:01","google","INDEXSP:.INX","S&P500","7743.41","7709.86","7752.07","7693.08","0.51",""
"2026/09/25 16:00:01","google","INDEXNASDAQ:.IXIC","ナスダック","27068.72","26970.95","27122.76","26876.27","0.48",""
"2026/09/25 16:00:01","google","INDEXRUSSELL:RUT","ラッセル2000","2837.55","2839.22","2851.7","2826.79","0.07",""
"2026/09/25 16:00:01","google","INDEXNASDAQ:SOX","SOX指数","12668.93","12565.84","12732.78","12549.6","1.41",""
"2026/09/25 16:00:01","google","IX0001","台湾加権","48024.6","","","","",""
"","","","","","","","","",""
"","ブルームバーグ","","ドル円","ImportXML(""https://www.bloomberg.co.jp/quote/USDJPY:CUR"",""//div[@class='price']"")","","","","",""
"","google","INDEXTOPIX:TOPIX","","","","","","",""
"","google","INDEXSP:SP500-60","SP不動産","","","","","",""
"","","","","","","","","",""
"GOOGLEFINANCE(C15, ""price"", DATE(2024,1,1), DATE(2024,4,17), ""DAILY"")","","","","","","","","",""
"","","","","","","","","",""
"ブルームバーグ","https://www.bloomberg.co.jp/quote/SZ399006:IND","創業板","ImportXML(""https://www.bloomberg.co.jp/quote/BDIY:IND"",""//div[@class='price']"")","","","","","",""
"ブルームバーグ","TWSE:IND","台湾加権","ImportXML(""https://www.bloomberg.co.jp/quote/BDIY:IND"",""//div[@class='price']"")","","","","","",""
"ブルームバーグ","TWSE:IND","韓国総合","ImportXML(""https://www.bloomberg.co.jp/quote/BDIY:IND"",""//div[@class='price']"")","","","","","",""
"","","/html/body/div[3]/div[3]/section/div[1]/div/div/div[2]/div[2]/table/tbody","","","","","","",""
"コード","銘柄","始値","高値","安値","終値","出来高","取引日","コード"
"NASDAQ:AAPL","アップル","336.04","341.67","334.53","341.07","29931227","2026/09/25","101"
"NASDAQ:MSFT","マイクロソフト","499.04","519.4","497.25","516.17","38096061","2026/09/25","102"
"NASDAQ:GOOG","グーグル","338.93","343.6","337.91","341.08","13719597","2026/09/25","103"
"NASDAQ:AMZN","アマゾン","248.56","250.88","247.18","249.67","34191090","2026/09/25","104"
"NASDAQ:NVDA","エヌビディア","225.13","226.94","223.13","225.07","89731493","2026/09/25","105"
"NASDAQ:META","メタ","768.85","769.57","746.54","751.66","25737921","2026/09/25","106"
"NASDAQ:TSLA","テスラ","384.62","386.83","367.67","372.11","45905846","2026/09/25","107"
"BATS:ARKK","アーク","92.02","92.2","89.72","90.77","757038","2026/09/25","108"
"NASDAQ:MU","マイクロン","1095.83","1108.72","1073","1082.28","20850897","2026/09/25","109"
"NASDAQ:AMD","AMD","634.54","639","625.52","630.63","17585995","2026/09/25","110"
"NASDAQ:INTC","インテル","126.83","126.93","122.84","123","97432855","2026/09/25","111"
"NASDAQ:ARM","アーム","318.5","325.48","310.08","310.32","6987332","2026/09/25","112"
"NASDAQ:AVGO","ブロードコム","352.62","354.43","349.43","352.81","15868367","2026/09/25","113"
"NASDAQ:QCOM","クアルコム","195.03","205.85","194.53","201.97","17800034","2026/09/25","114"
"AMS:ASML","ASML(蘭)","1526","1543","1521.6","1522.6","348654","2026/09/25","115"
"TPE:2330","TSMC(台)","2480","2490","2470","2475","14324662","2026/09/24","116"
"KRX:005930","サムスン(韓)","284500","285500","281000","285500","20864376","2026/09/23","117"
"HKG:0700","テンセント(中)","433.8","437.2","431.2","436.6","9113746","2026/09/25","118"
"BCBA:BABA","アリババ(中)","19910","20030","19450","19720","14626","2026/09/25","119"
"NASDAQ:PLTR","パランディア","192.71","194.21","189.35","189.67","17766937","2026/09/25","120"
"ETR:SAP","SAP(独)","184.42","185.92","183.76","185.92","0","2026/09/25","121"
"ETR:VOW3","VW(独)","70.4","71.92","70.16","71.72","973375","2026/09/25","122"
"ETR:BAS","BASF(独)","52.01","52.25","50.08","50.42","4369064","2026/09/25","123"
"NYSE:BRK.B","バークシャーH","505.25","505.87","502.24","505.48","2984988","2026/09/25","124"
"NYSE:JPM","JPモルガン","340.77","343.31","338.64","343.06","10581454","2026/09/25","125"
"NYSE:GS","GS","927.5","935.83","915.3","935.45","1940173","2026/09/25","126"
"LON:HSBA","HSBC(英)","1515.4","1524","1507.6","1515.06","10199990","2026/09/25","127"
"EPA:BNP","BNPパリバ(仏)","99.62","100.13","98.94","99.3","1845774","2026/09/25","128"
"EPA:MC","LVMH(仏)","401.45","401.8","395.15","396.85","508148","2026/09/25","129"
"NASDAQ:WMT","ウォルマート","107.08","111.17","106.45","107.98","19582501","2026/09/25","130"
"NYSE:MCD","マクドナルド","236.78","238","235.29","236.5","6491040","2026/09/25","131"
"NYSE:ORCL","オラクル","138.57","140.88","136.92","137.1","23422739","2026/09/25","132"
"KRX:000660","SKハイニクス(韓)","1899000","1900000","1836000","1862000","2947714","2026/09/23","133"
"HKG:1810","Xiaomi(中)","26.18","26.2","25.36","25.9","78353485","2026/09/25","134"
"SHE:002594","BYD(中)","85.7","86.02","84.23","84.34","18229196","2026/09/24","135"
"HKG:0981","SMIC(中)","63.7","63.7","62.35","63.35","10856414","2026/09/25","136"
"SHE:002371","NAURA(中)","663.16","665.88","653.06","653.06","4009747","2026/09/24","137"
