Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2020-01-02,9039.46,9093.43,9010.89,9092.19,25734,,,
2020-01-03,8976.43,9065.76,8976.43,9020.77,27702,,,
2020-01-06,8943.5,9072.41,8943.5,9071.47,10827,,,
2020-01-07,9076.65,9091.93,9042.55,9068.58,16587,,,
2020-01-08,9068.03,9168.89,9059.38,9129.24,30972,,,
2020-01-09,9202.27,9215.95,9158.5,9203.43,8886,,,
2020-01-10,9232.95,9235.2,9164.66,9178.86,11319,,,
2020-01-13,9213.72,9274.49,9193.06,9273.93,7155,,,
2020-01-14,9270.61,9298.33,9226.49,9251.33,8763,,,
2020-01-15,9253.76,9298.82,9231.14,9258.7,3783,,,
2020-01-16,9313.45,9357.92,9301.32,9357.13,10836,,,
2020-01-17,9392.37,9393.48,9346.81,9388.94,8385,,,
2020-01-21,9361.07,9397.58,9350.2,9370.81,6933,,,
2020-01-22,9413.61,9439.29,9375.13,9383.77,3489,,,
2020-01-23,9377.72,9409.2,9334.13,9402.48,6417,,,
2020-01-24,9446.21,9451.43,9273.23,9314.91,7392,,,
2020-01-27,9092.46,9185.45,9088.04,9139.31,7233,,,
2020-01-28,9201.82,9288.87,9182.33,9269.68,6702,,,
2020-01-29,9318.26,9329.12,9249.04,9275.16,6330,,,
2020-01-30,9211.15,9303,9185.18,9298.93,9633,,,
2020-01-31,9324.33,9324.8,9123.22,9150.94,6186,,,
2020-02-03,9190.72,9299.85,9188.55,9273.4,5394,,,
2020-02-04,9398.39,9485.38,9374.05,9467.97,7086,,,
2020-02-05,9574.1,9574.94,9454.93,9508.68,4407,,,
2020-02-06,9540.98,9575.66,9505.68,9572.15,9534,,,
2020-02-07,9526.64,9570.09,9496.53,9520.51,4389,,,
2020-02-10,9493.63,9628.66,9493.63,9628.39,4101,,,
2020-02-11,9680.89,9714.74,9617.21,9638.94,7668,,,
2020-02-12,9688.6,9728.77,9666.69,9725.96,7896,,,
2020-02-13,9657.04,9748.32,9650.02,9711.97,7608,,,
2020-02-14,9728.9,9746.36,9693.05,9731.18,8184,,,
2020-02-18,9679.04,9747.68,9675.8,9732.74,7038,,,
2020-02-19,9782.81,9838.37,9777.1,9817.18,21027,,,
2020-02-20,9799.2,9820.86,9636.94,9750.97,4620,,,
2020-02-21,9708.01,9715.95,9542.33,9576.59,5301,,,
2020-02-24,9188.44,9322.88,9166.01,9221.28,4989,,,
2020-02-25,9301.2,9315.26,8940.49,8965.61,4989,,,
2020-02-26,9011.55,9148.32,8927.8,8980.78,4473,,,
2020-02-27,8744.03,8904.11,8562.05,8566.48,6468,,,
2020-02-28,8272.51,8591.82,8264.16,8567.37,4518,,,
2020-03-02,8667.14,8952.81,8543.35,8952.17,7104,,,
2020-03-03,8965.1,9070.32,8602.89,8684.09,10890,,,
2020-03-04,8834.78,9019.96,8757.66,9018.09,4434,,,
2020-03-05,8790.09,8921.08,8677.39,8738.59,3462,,,
2020-03-06,8469.02,8612.36,8375.13,8575.62,3465,,,
2020-03-09,7957.93,8243.31,7943.16,7950.68,5247,,,
2020-03-10,8222.55,8347.4,7930.43,8344.25,4728,,,
2020-03-11,8135.74,8181.36,7850.95,7952.05,4713,,,
2020-03-12,7398.58,7712.33,7194.67,7201.8,2700,,,
2020-03-13,7610.39,7875.93,7219.09,7874.88,3543,,,
2020-03-16,7392.73,7422.2,6882.86,6904.59,5526,,,
