Date,Open,High,Low,Close,Volume
2025-10-16,3570,3640,3015,3380,31187700
2025-10-17,3500,3720,3410,3430,15813900
2025-10-20,3620,3725,3510,3650,5429700
2025-10-21,3695,3720,3510,3510,3962900
2025-10-22,3495,3570,3455,3520,1849300
2025-10-23,3450,3555,3250,3540,1897100
2025-10-24,3600,3620,3490,3590,1491000
2025-10-27,3610,3615,3430,3450,1999600
2025-10-28,3400,3420,3265,3410,1757500
2025-10-29,3380,3385,3270,3275,1093900
2025-10-30,3250,3310,3100,3100,1910900
2025-10-31,3100,3530,3100,3480,3251500
2025-11-04,3450,3500,3350,3385,938300
2025-11-05,3290,3425,3270,3385,1149500
2025-11-06,3410,3410,3200,3225,1208700
2025-11-07,3200,3270,3175,3220,449200
2025-11-10,3240,3255,3125,3165,501500
2025-11-11,3210,3295,3200,3245,678000
2025-11-12,3315,3420,3260,3415,1163000
2025-11-13,3310,3530,3255,3495,1658400
2025-11-14,3305,3440,3305,3320,885400
2025-11-17,3320,3480,3320,3435,813700
2025-11-18,3405,3420,3180,3200,1104100
2025-11-19,3165,3225,3020,3125,1116900
2025-11-20,3335,3345,3095,3130,1052000
2025-11-21,3000,3030,2863,2906,3373300
2025-11-25,3065,3065,2918,2953,1973800
2025-11-26,3000,3045,2963,3005,946900
2025-11-27,3145,3240,3140,3175,7177600
2025-11-28,3135,3350,3125,3350,1569300
2025-12-01,3290,3295,3055,3070,1408400
2025-12-02,3065,3090,3020,3040,631500
2025-12-03,3085,3175,3080,3145,639300
2025-12-04,3110,3145,3050,3085,539600
2025-12-05,3070,3160,3070,3115,430400
2025-12-08,3105,3130,3065,3115,281900
2025-12-09,3105,3125,3040,3040,377900
2025-12-10,3075,3095,2997,3005,565700
2025-12-11,3150,3215,3085,3105,1384500
2025-12-12,3210,3235,3070,3105,715300
2025-12-15,3070,3095,3000,3040,664400
2025-12-16,3010,3060,2946,2949,1062800
2025-12-17,3010,3040,2982,3005,735200
2025-12-18,2973,2978,2917,2944,618500
2025-12-19,2945,2967,2851,2874,1219700
2025-12-22,2910,3060,2910,3045,1362100
2025-12-23,3030,3065,2977,2990,648400
2025-12-24,3000,3050,2999,3035,693700
2025-12-25,3030,3060,3000,3025,543300
2025-12-26,3025,3045,2975,2975,855100
2025-12-29,3025,3045,2972,3015,418900
2025-12-30,3005,3065,2984,3030,409200
2026-01-05,3100,3110,3060,3080,533200
2026-01-06,3110,3230,3095,3155,924100
2026-01-07,3160,3240,3150,3185,819300
2026-01-08,3180,3200,3100,3100,461200
2026-01-09,3105,3120,3055,3095,367700
2026-01-13,3150,3185,3115,3115,601300
2026-01-14,3120,3160,3005,3030,617400
2026-01-15,3005,3040,2938,2988,1364900
2026-01-16,3020,3070,2990,2995,701100
2026-01-19,2999,3050,2999,3040,543900
2026-01-20,3025,3040,2951,2951,807900
2026-01-21,2916,2990,2901,2990,623700
2026-01-22,2999,3130,2991,3085,901500
2026-01-23,3080,3090,3000,3055,428100
