Date,Open,High,Low,Close,Volume
2021-01-25,584.4,591.8,583,588,2845000
2021-01-26,588,590.6,586.2,587.6,1437000
2021-01-27,591.2,595,588.6,593,1268000
2021-01-28,583.4,595.2,583.4,594,3299500
2021-01-29,596,602,586,597.4,4481000
2021-02-01,595.4,612,594.2,597.2,1948000
2021-02-02,601,602,597,599.4,1115500
2021-02-03,600,602,595.2,601,1274500
2021-02-04,599,606,598.2,602,597500
2021-02-05,607,618,603,618,1119000
2021-02-08,615,615,602,608,1576500
2021-02-09,605,607,598.4,600,1245500
2021-02-10,599.4,599.8,586.8,591,1691500
2021-02-12,600,603,587.6,590.6,1299000
2021-02-15,595,599.2,589.4,591.4,760500
2021-02-16,594.8,597.2,589.4,595.6,1011000
2021-02-17,594.8,600,593.8,599.4,1113000
2021-02-18,604,605,596.8,597.8,1179500
2021-02-19,603,603,586,589.2,1402500
2021-02-22,595.8,599.4,590.8,590.8,796500
2021-02-24,601,607,596.4,602,1797500
2021-02-25,603,604,598.4,601,1124500
2021-02-26,599.8,601,591.2,591.2,1833500
2021-03-01,591.2,593,582.2,585,1857500
2021-03-02,585.2,586.8,578.4,579.6,1793000
2021-03-03,583,590.6,580,585,1541000
2021-03-04,582,589.6,580.2,587.8,1470000
2021-03-05,590.4,596.6,582.4,595.4,1179000
2021-03-08,599,603,592.8,595.4,1338500
2021-03-09,598.6,602,595.6,598.8,1155000
2021-03-10,594.8,602,593,598.8,1519000
2021-03-11,598,604,594.8,598.8,1292500
2021-03-12,598.2,601,594.4,598.8,1537500
2021-03-15,603,619,602,619,1468000
2021-03-16,624,635,622,628,1107000
2021-03-17,624,632,624,631,878000
2021-03-18,631,632,622,625,1646000
2021-03-19,624,634,622,630,1696500
2021-03-22,636,641,629,636,2162500
2021-03-23,637,641,626,626,2022500
2021-03-24,628,632,616,618,1574500
2021-03-25,622,629,617,617,1577000
2021-03-26,621,624,617,618,2919500
2021-03-29,623,623,607,613,4171500
2021-03-30,596,599.4,591.6,596.6,2151500
2021-03-31,591,592,585.2,586.6,1905500
2021-04-01,583.6,588,579,580.8,1349500
2021-04-02,580,581.6,573.6,573.6,1222000
2021-04-05,580,585.8,579.6,585.2,846000
2021-04-06,584.6,588.2,576.6,580,1284500
2021-04-07,583.6,585,581.2,583.8,990000
2021-04-08,581.4,582.2,578.6,580,1342500
2021-04-09,582.4,587.2,580.6,586.6,791500
2021-04-12,590.4,595.2,587.6,593.8,895000
2021-04-13,596,601,594.2,596.2,804000
2021-04-14,594.2,594.2,588.4,591.4,898000
2021-04-15,591.4,592.2,588.2,591,525000
2021-04-16,588,591.8,585.2,591.8,612500
2021-04-19,592.6,595.6,590.8,590.8,634000
2021-04-20,589.6,589.6,580.6,581.2,812000
2021-04-21,576.8,577.2,569.8,574.6,1554500
2021-04-22,577.8,582,574.4,576.2,898000
2021-04-23,576.4,577.2,570.4,570.4,951500
2021-04-26,571.8,573.4,566,566,1219000
2021-04-27,571,574.2,567.4,571.8,724000
2021-04-28,572.8,574.4,564.6,564.6,1249500
2021-04-30,564.6,569.6,563,564.8,885500
2021-05-06,570.4,580.8,570.4,573.8,1361500
2021-05-07,579,580.6,575.2,579.2,1005000
2021-05-10,580,587.6,578.4,587.2,1006000
2021-05-11,584,584.6,578.4,581,1129000
2021-05-12,576,579.4,570.4,574.6,1144000
2021-05-13,572.4,578,571.6,572.2,1283500
2021-05-14,540.2,544,515.4,521,8758000
2021-05-17,525.2,542.8,524.4,537.2,3157500
2021-05-18,540,542.6,537.4,539.4,1864500
2021-05-19,537.2,540.2,534.4,537.2,1497000
2021-05-20,538,541.2,534,534,1173000
2021-05-21,537,540.6,536.4,536.8,1326500
2021-05-24,541.2,543.6,538.6,540,1290000
2021-05-25,543,554.8,542.4,549.6,2453500
2021-05-26,543.4,546,536.6,537.4,1950500
2021-05-27,537.4,541.6,536.2,539,2350000
2021-05-28,543.8,545.6,539,541,1146500
