Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,UnderLimit
2016-02-02,2835,2870,2809,2827,866500,,,
2016-02-03,2750,2785,2711,2731,970500,,,
2016-02-04,2732,2769,2703,2716,844300,,,
2016-02-05,2652,2665,2584,2626,1006100,,,
2016-02-08,2588,2689,2575,2658,644500,,,
2016-02-09,2534,2538,2430,2450,1026300,,,
2016-02-10,2463,2496,2365,2408,845400,,,
2016-02-12,2297,2321,2230,2263,1358700,,,
2016-02-15,2391,2492,2362,2467,745000,,,
2016-02-16,2440,2542,2422,2492,669700,,,
2016-02-17,2472,2538,2470,2517,771200,,,
2016-02-18,2599,2616,2537,2543,648900,,,
2016-02-19,2500,2522,2477,2510,503500,,,
2016-02-22,2489,2540,2478,2534,387300,,,
2016-02-23,2541,2565,2478,2509,556000,,,
2016-02-24,2468,2514,2442,2504,665200,,,
2016-02-25,2540,2563,2485,2518,822200,,,
2016-02-26,2528,2552,2499,2507,559800,,,
2016-02-29,2550,2602,2506,2506,517700,,,
2016-03-01,2510,2524,2419,2469,652200,,,
2016-03-02,2564,2609,2517,2571,702800,,,
2016-03-03,2555,2612,2537,2606,1115200,,,
2016-03-04,2585,2656,2562,2620,791500,,,
2016-03-07,2620,2634,2581,2599,775700,,,
2016-03-08,2588,2614,2538,2578,998900,,,
2016-03-09,2478,2545,2434,2511,1679700,,,
2016-03-10,2578,2606,2562,2574,937000,,,
2016-03-11,2524,2583,2487,2558,1024600,,,
2016-03-14,2591,2614,2539,2553,655800,,,
2016-03-15,2533,2534,2445,2463,1318800,,,
2016-03-16,2441,2454,2372,2435,1301600,,,
2016-03-17,2455,2489,2401,2425,949700,,,
2016-03-18,2390,2402,2331,2388,1017700,,,
2016-03-22,2449,2515,2435,2484,900400,,,
2016-03-23,2477,2512,2455,2461,390900,,,
2016-03-24,2464,2491,2438,2472,474100,,,
2016-03-25,2491,2540,2476,2525,464600,,,
2016-03-28,2519,2552,2516,2552,490600,,,
2016-03-29,2558,2596,2545,2562,495200,,,
2016-03-30,2544,2573,2520,2520,379500,,,
2016-03-31,2557,2588,2521,2545,603500,,,
2016-04-01,2536,2536,2413,2427,690600,,,
2016-04-04,2417,2430,2371,2386,397400,,,
2016-04-05,2357,2371,2280,2295,629100,,,
2016-04-06,2223,2268,2171,2240,1658700,,,
2016-04-07,2203,2238,2158,2226,1638000,,,
2016-04-08,2167,2277,2161,2243,1151200,,,
2016-04-11,2229,2230,2171,2219,477900,,,
2016-04-12,2212,2265,2205,2252,440800,,,
2016-04-13,2290,2351,2283,2335,694600,,,
2016-04-14,2382,2406,2354,2406,749100,,,
2016-04-15,2373,2402,2348,2373,473300,,,
2016-04-18,2266,2303,2255,2297,370600,,,
2016-04-19,2375,2414,2362,2385,332700,,,
2016-04-20,2385,2410,2353,2363,463900,,,
2016-04-21,2436,2447,2411,2427,812300,,,
2016-04-22,2398,2444,2380,2444,675500,,,
2016-04-25,2467,2494,2440,2469,607800,,,
2016-04-26,2445,2466,2409,2449,832500,,,
2016-04-27,2478,2487,2412,2452,1280300,,,
2016-04-28,2259,2351,2202,2292,4143300,,,
2016-05-02,2183,2196,2132,2159,1483300,,,
2016-05-06,2177,2181,2143,2174,939100,,,
2016-05-09,2198,2221,2188,2203,690500,,,
2016-05-10,2212,2290,2204,2281,905500,,,
2016-05-11,2314,2356,2289,2306,1106400,,,
2016-05-12,2270,2302,2245,2300,654200,,,
2016-05-13,2319,2321,2224,2274,826900,,,
2016-05-16,2275,2304,2248,2275,365100,,,
2016-05-17,2298,2305,2281,2300,626300,,,
2016-05-18,2298,2319,2286,2305,527100,,,
2016-05-19,2313,2326,2271,2286,587400,,,
2016-05-20,2277,2319,2261,2314,558700,,,
2016-05-23,2291,2328,2279,2311,590300,,,
2016-05-24,2304,2305,2251,2264,718300,,,
2016-05-25,2320,2337,2297,2316,499000,,,
2016-05-26,2352,2352,2287,2303,542800,,,
2016-05-27,2318,2349,2291,2345,497000,,,
2016-05-30,2350,2369,2334,2355,273700,,,
2016-05-31,2360,2365,2331,2351,1379600,,,
2016-06-01,2351,2370,2321,2338,813000,,,
2016-06-02,2300,2312,2244,2256,877600,,,
2016-06-03,2261,2272,2247,2266,515200,,,
2016-06-06,2316,2359,2275,2345,1472100,,,
2016-06-07,2350,2363,2299,2308,813000,,,
2016-06-08,2319,2441,2318,2439,1255100,,,
2016-06-09,2441,2476,2433,2460,1772400,,,
2016-06-10,2460,2474,2441,2466,1396500,,,
2016-06-13,2426,2426,2386,2400,1152500,,,
2016-06-14,2384,2384,2348,2377,843500,,,
2016-06-15,2361,2433,2349,2407,908500,,,
2016-06-16,2385,2389,2310,2323,909200,,,
2016-06-17,2362,2371,2328,2340,824700,,,
2016-06-20,2411,2427,2387,2397,612700,,,
2016-06-21,2370,2429,2345,2417,684500,,,
2016-06-22,2382,2402,2359,2385,804900,,,
2016-06-23,2377,2413,2367,2402,600000,,,
2016-06-24,2402,2428,2202,2231,1061300,,,
2016-06-27,2259,2259,2156,2196,1055000,,,
2016-06-28,2119,2166,2089,2158,1185900,,,
2016-06-29,2154,2173,2115,2164,1640100,,,
2016-06-30,2229,2233,2167,2167,880700,,,
2016-07-01,2174,2186,2160,2168,598000,,,
2016-07-04,2163,2205,2144,2198,707400,,,
2016-07-05,2197,2197,2148,2164,608000,,,
2016-07-06,2100,2106,2028,2060,1084600,,,
2016-07-07,2057,2136,2042,2091,1403900,,,
2016-07-08,2129,2161,2091,2096,960600,,,
2016-07-11,2136,2220,2132,2201,775200,,,
