DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-04,15:00:00,6590,1168000000,264.61,4651.22,110.0
2021-05-13,15:00:00,6590,1969000000,446.18,4949.41,
2021-08-04,15:00:00,6590,-192000000,-43.69,4821.64,170.0
2021-11-05,15:00:00,6590,751000000,170.22,5043.09,200.0
2021-11-05,15:00:00,6590,,,,200.0
2022-02-03,15:00:00,6590,1523000000,344.86,5223.19,200.0
2022-05-12,15:00:00,6590,2983000000,675.41,5571.64,
2022-08-04,15:00:00,6590,1675000000,379.21,5743.27,350.0
2022-11-09,15:00:00,6590,3414000000,772.67,6161.61,390.0
2023-02-08,15:00:00,6590,6139000000,1389.23,6781.14,510.0
2023-05-11,15:15:00,6590,9198000000,2081.32,7466.67,
2023-08-03,15:00:00,6590,1794000000,406.02,7323.31,
2023-11-09,15:00:00,6590,3874000000,292.45,2569.81,
2024-02-08,15:00:00,6590,6050000000,457.79,2741.91,
2024-05-09,15:00:00,6590,8793000000,666.27,2955.88,
2024-08-08,15:00:00,6590,2288000000,174.66,2940.72,235.0
2024-11-07,15:00:00,6590,4099000000,312.72,3093.45,243.0
2025-02-06,15:00:00,6590,6948000000,530.0,3289.74,243.0
2025-03-19,15:00:00,6590,,,,278.0
2025-05-14,15:00:00,6590,10328000000,787.76,3607.81,
2025-08-06,15:00:00,6590,2874000000,219.15,3528.73,200.0
2025-11-06,15:00:00,6590,5317000000,405.3,3728.04,238.0
