権利付き最終日,コード,銘柄名,市場,分割前,分割後
2026/3/27,1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信  ,東証プライム,1,500
2026/3/27,1723,日本電技  ,東証スタンダード,1,4
2026/3/27,2220,亀田製菓  ,東証プライム,1,3
2026/3/27,2602,日清オイリオグループ  ,東証プライム,1,3
2026/3/27,417A,ブルーゾーンホールディングス  ,東証プライム,1,5
2026/3/27,4368,扶桑化学工業  ,東証プライム,1,3
2026/3/27,5273,三谷セキサン  ,東証スタンダード,1,4
2026/3/27,5331,ノリタケ  ,東証プライム・名証プレミア,1,2
2026/3/27,5393,ニチアス  ,東証プライム,1,3
2026/3/27,5803,フジクラ  ,東証プライム,1,6
2026/4/27,1961,三機工業  ,東証プライム,1,3
2026/4/27,2695,くら寿司  ,東証プライム,1,2
2026/5/21,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（Ｒ）（為替ヘッジなし）連動型上場投信  ,東証プライム,1,200
2026/6/4,2559,ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信  ,東証プライム,1,10
2026/6/26,1663,Ｋ＆Ｏエナジーグループ  ,東証プライム,1,2
2026/6/26,2264,森永乳業  ,東証プライム,1,4
2026/6/26,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ  ,東証プライム,1,2
2026/6/26,4099,四国化成ホールディングス  ,東証プライム,1,2
2026/6/26,4452,花王  ,東証プライム,1,2
2026/6/26,5801,古河電気工業  ,東証プライム,1,10
2026/6/26,5802,住友電気工業  ,東証プライム・名証プレミア・福証,1,4
2026/6/26,7173,東京きらぼしフィナンシャルグループ  ,東証プライム,1,8
2026/6/26,7846,パイロットコーポレーション  ,東証プライム,1,3
2026/6/26,8053,住友商事  ,東証プライム,1,4
2026/7/29,8309,三井住友トラストグループ  ,東証プライム・名証プレミア,1,4
2026/8/27,7649,スギホールディングス  ,東証プライム・名証プレミア,1,2
2026/9/28,1925,大和ハウス工業  ,東証プライム,1,2
2026/9/28,1926,ライト工業  ,東証プライム,1,4
2026/9/28,1965,テクノ菱和  ,東証スタンダード,1,3
2026/9/28,2282,日本ハム  ,東証プライム,1,3
2026/9/28,285A,キオクシアホールディングス  ,東証プライム,1,3
2026/9/28,3099,三越伊勢丹ホールディングス  ,東証プライム,1,2
2026/9/28,3106,倉敷紡績  ,東証プライム,1,5
2026/9/28,4062,イビデン  ,東証プライム・名証プレミア,1,2
2026/9/28,4471,三洋化成工業  ,東証プライム,1,4
2026/9/28,5232,住友大阪セメント  ,東証プライム,1,3
2026/9/28,5334,日本特殊陶業  ,東証プライム・名証プレミア,1,2
2026/9/28,5706,三井金属  ,東証プライム,1,10
2026/9/28,6135,牧野フライス製作所  ,東証プライム,1,5
2026/9/28,6379,レイズネクスト  ,東証プライム,1,3
2026/9/28,6622,ダイヘン  ,東証プライム・福証,1,5
2026/9/28,7242,カヤバ  ,東証プライム,1,3
2026/9/28,7282,豊田合成  ,東証プライム・名証プレミア,1,5
2026/9/28,7716,ナカニシ  ,東証スタンダード,1,2
2026/9/28,7988,ニフコ  ,東証プライム,1,2
2026/9/28,8035,東京エレクトロン  ,東証プライム,1,5
2026/9/28,8316,三井住友フィナンシャルグループ  ,東証プライム・名証プレミア,1,2
2026/9/28,8360,山梨中央銀行  ,東証プライム,1,5
2026/9/28,8361,大垣共立銀行  ,東証プライム・名証プレミア,1,5
2026/9/28,8370,紀陽銀行  ,東証プライム,1,3
2026/9/28,8377,ほくほくフィナンシャルグループ  ,東証プライム・札証,1,10
2026/9/28,9065,山九  ,東証プライム・福証,1,5
2026/9/28,9068,丸全昭和運輸  ,東証プライム,1,2
2026/9/28,9956,バローホールディングス  ,東証プライム・名証プレミア,1,2
2026/9/28,9987,スズケン  ,東証プライム・名証プレミア・札証,1,2
2026/11/26,8976,大和証券オフィス投資法人  ,東証プライム,1,4
2026/12/28,6465,ホシザキ  ,東証プライム・名証プレミア,1,2
